article,lvl2,main,up,location,href,meter_1,meter_2,pix_1,pix_2,name,in_rub,hronometraz,v_sutki,dney,anonce_code,anonce,money_rub_day,money_dol_day,sec_rub,sec_dol,area,diagonal,diag_in,pixels,diagonal_pixels,ppi,Pixel_Density,Plotn_Town,tchel_Town,km2_Town,scr_dol,Life_Time_Months,payback_Months,profit_Months,profit_Total,sum_1_m
Vladivostok027,/primorskiy-kray,Rossija,Primorskij kraj,Vladivostok,/primorskiy-kray/vladivostok/lazo-28-storona-b,15,5,1440,480,Lazo; 28 (storona B),40875,7.5,1080,7,53477615,Tsifrovoj supersajt,5839.29,92.26,0.721,0.011,75.0,15.81,622.5,691200.0,1517.89,2.44,9216.0,1787.86,592069,331.16,283996.88,694.44,102.61,591.84,1354089.58,3786.62
Vladivostok028,/primorskiy-kray,Rossija,Primorskij kraj,Vladivostok,/primorskiy-kray/vladivostok/russkaya-4,6,3,1152,576,Russkaja; 4,8850,7,1080,7,53477415,Tsifrovoj bilbord,1264.29,19.98,0.167,0.003,18.0,6.71,264.1,663552.0,1287.98,4.88,36864.0,1787.86,592069,331.16,26158.5,694.44,43.64,650.8,363933.0,1453.25
Vladimir001,/vladimirskaya-oblast,Rossija,Vladimirskaja oblast',Vladimir,/vladimirskaya-oblast/vladimir/ploshchad-lenina,5.6,4.2,256,192,Ploschad' Lenina,8044,10,228,7,53477215,Svetodiodnyj ekran,1149.14,18.16,0.504,0.008,23.52,7.0,275.59,49152.0,320.0,1.16,2089.8,2541.75,348256,137.014,152880.0,694.44,280.62,413.83,72573.33,6500.0
Vladimir002,/vladimirskaya-oblast,Rossija,Vladimirskaja oblast',Vladimir,/vladimirskaya-oblast/vladimir/verkhnyaya-dubrova-36a,5.6,4.2,256,192,Verhnjaja Dubrova; 36A,8044,10,192,7,53477215,Svetodiodnyj ekran,1149.14,18.16,0.599,0.009,23.52,7.0,275.59,49152.0,320.0,1.16,2089.8,2541.75,348256,137.014,152880.0,694.44,280.62,413.83,72573.33,6500.0
Vladimir003,/vladimirskaya-oblast,Rossija,Vladimirskaja oblast',Vladimir,/vladimirskaya-oblast/vladimir/kuybysheva-22b,5.6,4.2,256,192,Kujbysheva; 22B,8044,10,228,7,53477215,Svetodiodnyj ekran,1149.14,18.16,0.504,0.008,23.52,7.0,275.59,49152.0,320.0,1.16,2089.8,2541.75,348256,137.014,152880.0,694.44,280.62,413.83,72573.33,6500.0
Volgograd001,/volgogradskaya-oblast,Rossija,Volgogradskaja oblast',Volgograd,/volgogradskaya-oblast/volgograd/lenina-54b-trk-yevropasitimoll,6,3,576,288,Lenina; 54B (TRK "EvropaSitiMoll"),9540,10,84,14,53477215,Svetodiodnyj ekran,681.43,10.77,0.811,0.013,18.0,6.71,264.1,165888.0,643.99,2.44,9216.0,1188.39,1021244,859.353,68159.25,694.44,210.95,483.49,88056.5,3786.62
Volgograd002,/volgogradskaya-oblast,Rossija,Volgogradskaja oblast',Volgograd,/volgogradskaya-oblast/volgograd/ploshchad-vozrozhdeniya,12,9,320,224,Ploschad' Vozrozhdenija,10238,10,90,14,53477215,Svetodiodnyj ekran,731.29,11.55,0.813,0.013,108.0,15.0,590.55,71680.0,390.61,0.66,663.7,1188.39,1021244,859.353,702000.0,694.44,2025.97,-1331.53,-1163375.0,6500.0
Volgograd006,/volgogradskaya-oblast,Rossija,Volgogradskaja oblast',Volgograd,/volgogradskaya-oblast/volgograd/kalinina-13-tts-merkuriy,6,3,576,288,Kalinina; 13 (TTs "Merkurij"),10000,10,100,30,53477215,Svetodiodnyj ekran,333.33,5.27,0.333,0.005,18.0,6.71,264.1,165888.0,643.99,2.44,9216.0,1188.39,1021244,859.353,68159.25,694.44,431.11,263.33,-26526.83,3786.62
Volgograd007,/volgogradskaya-oblast,Rossija,Volgogradskaja oblast',Volgograd,/volgogradskaya-oblast/volgograd/rokossovskogo-62-bts-volgograd-siti,8,4,512,256,Rokossovskogo; 62 (BTs "Volgograd Siti"),9540,10,100,14,53477215,Svetodiodnyj ekran,681.43,10.77,0.681,0.011,32.0,8.94,352.14,131072.0,572.43,1.63,4096.0,1188.39,1021244,859.353,121172.0,694.44,375.03,319.42,-17969.0,3786.62
Voronezh004,/voronezhskaya-oblast,Rossija,Voronezhskaja oblast',Voronezh,/voronezhskaya-oblast/voronezh/ploshchad-lenina-12-revolyutsii,9,12,720,576,Ploschad' Lenina; 12 - Revoljutsii,16644,10,204,10,53477215,Svetodiodnyj ekran,1664.4,26.3,0.816,0.013,108.0,15.0,590.55,414720.0,922.05,1.56,3840.0,1491.48,889680,596.51,408955.5,694.44,518.32,176.12,-269994.33,3786.62
Voronezh005,/voronezhskaya-oblast,Rossija,Voronezhskaja oblast',Voronezh,/voronezhskaya-oblast/voronezh/pushkinskaya-plekhanovskaya-otel-azimut,4,3,768,576,Pushkinskaja - Plehanovskaja (otel' "Azimut"),72000,10,648,7,53477415,Tsifrovoj bilbord,10285.71,162.51,1.587,0.025,12.0,5.0,196.85,442368.0,960.0,4.88,36864.0,1491.48,889680,596.51,17439.0,694.44,3.58,690.87,3350747.0,1453.25
