option_code,name,base_local,n_level,level
Pushkino,186153015, Pushkino, Pushkino,2,»

Razdory,186541015, Razdory, Razdory,2,»

Ramenki,186113615, Ramenki, Zapadnyj AO,3,»»

Respublika Mordovija,71557615,Respublika Mordovija,Respublika Mordovija,2,»

Respublika Tatarstan,72829815,Respublika Tatarstan,Respublika Tatarstan,2,»

Rostov-na-Donu,28093615, Rostov-na-Donu, Rostov-na-Donu,2,»

Rostovskaja oblast',28093415,Rostovskaja oblast',Rostovskaja oblast',2,»

Rostokino,186144815, Rostokino, Severo-Vostochnyj AO,3,»»

Rjazanskij,186152615, Rjazanskij, Jugo-Vostochnyj AO,3,»»

Savelovskij,186150215, Savelovskij, Severnyj AO,3,»»

Salehard,487371841, Salehard, Salehard,2,»

Samara,28494215, Samara, Samara,2,»

Samarskaja oblast',28494015,Samarskaja oblast',Samarskaja oblast',2,»

Sankt Peterburg,64235015,Sankt Peterburg,Sankt Peterburg,2,»

Saransk,71558215, Saransk, Saransk,2,»

Saratov,348527015, Saratov, Saratov,2,»

Saratovskaja oblast',348526615,Saratovskaja oblast',Saratovskaja oblast',2,»

Sverdlovskaja oblast',504950641,Sverdlovskaja oblast',Sverdlovskaja oblast',2,»

Sviblovo,186167815, Sviblovo, Severo-Vostochnyj AO,3,»»

Severnyj AO,186532215, Severnyj AO, Severnyj AO,2,»

Severo-Vostochnyj AO,186532615, Severo-Vostochnyj AO, Severo-Vostochnyj AO,2,»

Severo-Zapadnyj AO,186534815, Severo-Zapadnyj AO, Severo-Zapadnyj AO,2,»

Smolensk,70386215, Smolensk, Smolensk,2,»

Smolenskaja oblast',70385815,Smolenskaja oblast',Smolenskaja oblast',2,»

Sokol,186153215, Sokol, Severnyj AO,3,»»

Sokolinaja Gora,186149215, Sokolinaja Gora, Vostochnyj AO,3,»»

Solnechnogorsk,186186415, Solnechnogorsk, Solnechnogorsk,2,»

Solntsevo,186109415, Solntsevo, Zapadnyj AO,3,»»

Sochi,70597815, Sochi, Sochi,2,»

Strogino,186149815, Strogino, Severo-Zapadnyj AO,3,»»

Stupino,190887415, Stupino, Stupino,2,»

Surgut,466103841, Surgut, Surgut,2,»

Taganrog,69269415, Taganrog, Taganrog,2,»

Taganskij,186124015, Taganskij, Tsentral'nyj AO,3,»»

Tverskaja oblast',409022615,Tverskaja oblast',Tverskaja oblast',2,»

Tverskoj,186146815, Tverskoj, Tsentral'nyj AO,3,»»

Tver',409022815, Tver', Tver',2,»

