option_code,name,base_local,n_level,level
Теплый Стан,186144015, Теплый Стан, Юго-Западный АО,3,»»

Тимирязевский,186125615, Тимирязевский, Северный АО,3,»»

Тобольск,462692641, Тобольск, Тобольск,2,»

Тропарево-Никулино,186145415, Тропарево-Никулино, Западный АО,3,»»

Тушино Южное,186149015, Тушино Южное, Северо-Западный АО,3,»»

Тюменская область,461332041,Тюменская область,Тюменская область,2,»

Тюмень,462344841, Тюмень, Тюмень,2,»

Урай,517083241, Урай, Урай,2,»

Урюпинск,30020615, Урюпинск, Урюпинск,2,»

Уфа,35467415, Уфа, Уфа,2,»

Фили-Давыдково,186142815, Фили-Давыдково, Западный АО,3,»»

Хабаровск,33593615, Хабаровск, Хабаровск,2,»

Хабаровский край,33593415,Хабаровский край,Хабаровский край,2,»

Хамовники,186142215, Хамовники, Центральный АО,3,»»

Ханты-Мансийск,466184241, Ханты-Мансийск, Ханты-Мансийск,2,»

Химки,186185815, Химки, Химки,2,»

Хорошево-Мневники,186139415, Хорошево-Мневники, Северо-Западный АО,3,»»

Хорошевский,186150415, Хорошевский, Северный АО,3,»»

Царицыно,186109015, Царицыно, Южный АО,3,»»

Центральный АО,186531615, Центральный АО, Центральный АО,2,»

Чебоксары,68039415, Чебоксары, Чебоксары,2,»

Челябинск,489826241, Челябинск, Челябинск,2,»

Челябинская область,487372841,Челябинская область,Челябинская область,2,»

Черемушки,186145615, Черемушки, Юго-Западный АО,3,»»

Чувашская Республика,68039215,Чувашская Республика,Чувашская Республика,2,»

Щелково,190877415, Щелково, Щелково,2,»

Щукино,186147015, Щукино, Северо-Западный АО,3,»»

Энгельс,348526815, Энгельс, Энгельс,2,»

Юго-Восточный АО,186533015, Юго-Восточный АО, Юго-Восточный АО,2,»

Юго-Западный АО,186533615, Юго-Западный АО, Юго-Западный АО,2,»

Южнопортовый,186115615, Южнопортовый, Юго-Восточный АО,3,»»

Южный АО,186533215, Южный АО, Южный АО,2,»

Юрлово,186186615, Юрлово, Юрлово,2,»

Ярославль,189621615, Ярославль, Ярославль,2,»

Ярославская область,189621215,Ярославская область,Ярославская область,2,»

