pix,price_sec
1728000864,11.76
1800000384,6.72
192000288,6.94
192000416,21.86
19200001080,10.67
19200001080,7.63
1920000600,13.89
1920000600,13.89
1920000600,11.11
1952000288,104.57
20000004831,37.04
202000432,5.9
2090000536,7.61
224000168,15
240000160,5.18
240000160,5.18
240000160,5.18
240000168,9.51
240000168,3.55
240000168,3.55
240000168,3.55
240000192,9.98
240000192,9.51
240000384,3.76
256000144,9.33
256000192,3.53
256000192,4.19
256000192,3.53
256000192,4.04
256000192,4.44
256000192,5.19
280000192,3.46
280000200,4.89
280000280,5.76
280000280,6.73
288000176,4.96
288000192,5.18
288000192,5.19
288000224,20.46
288000240,6.53
28800001440,3.23
28800001440,3.23
28800001440,3.23
28800001440,11.76
28800001440,9.66
28800001440,11.76
300000450,19.22
320000192,5.62
320000192,2.19
320000192,2.89
320000224,11.38
320000240,16.05
320000240,16.05
320000240,6.1
320000240,4.78
320000240,3.66
320000240,5.19
320000448,11.57
320000448,11.57
320000448,11.57
320000448,11.57
320000448,11.57
320000448,11.57
320000448,11.57
320000448,8.9
320000448,8.9
320000448,8.9
320000448,11.57
320000448,11.57
320000448,8.9
320000448,8.9
320000448,8.19
320000448,8.9
320000448,8.9
320000448,8.19
320000448,8.9
320000448,8.19
320000448,8.9
320000448,8.19
320000448,8.19
320000448,8.9
320000448,8.19
320000448,8.19
320000448,8.19
320000448,8.19
320000448,8.19
320000448,8.19
320000240,5.78
320000240,3.82
320000240,4.3
320000240,4.3
320000240,4.95
340000480,4.69
352000224,2.76
360000180,2.05
384000192,3.33
384000192,3.79
384000192,3.79
384000192,2.11
384000192,5.06
384000192,2.11
384000240,14.98
384000240,4.98
384000256,8.68
384000256,8.68
384000256,2.05
384000256,5.19
384000256,5.19
384000288,23.38
384000288,5.59
384000288,8.68
384000288,4.25
384000288,4.25
384000288,4.25
384000288,4.25
384000288,4.25
384000288,4.25
384000288,4.25
384000288,4.25
384000288,5.76
384000288,9.98
384000288,7.04
384000288,9.69
384000288,6.21
384000288,11.62
384000288,8.8
384000288,7.04
384000288,6.84
384000288,6.21
384000288,9.69
384000288,11.62
384000288,7.75
384000288,9.69
384000288,5.19
384000288,5.19
384000576,3.81
384000576,3.81
384000256,4.4
386000260,2.05
400000300,2.93
416000576,14.58
432000216,4.81
432000288,5.19
448000240,20.83
448000240,20.83
448000288,14.98
448000320,14.98
448000320,20.06
448000336,5.54
450000450,12.37
4800001152,4.08
480000240,5.19
480000240,5.19
480000256,19.12
480000288,8.68
480000288,2.64
480000288,3.76
480000288,3.76
480000288,5.06
480000310,6.58
480000320,22.46
480000320,6.58
480000336,20.06
480000366,14.14
480000420,4.21
480000720,1.36
480000720,1.36
480000384,4.6
480000384,4.13
480000384,4.13
496000288,7.45
512000256,9.54
512000288,14.98
512000288,38.87
512000288,38.87
512000288,38.87
512000288,38.87
512000288,38.87
512000288,38.87
512000320,20.46
512000320,6.23
512000352,4.89
512000352,4.89
512000352,4.89
512000384,11.07
512000384,5.57
512000384,20.46
512000384,6.06
512000384,2.94
512000384,2.94
512000384,2.94
512000384,2.94
512000384,3.67
512000384,2.94
512000384,2.94
512000384,2.94
512000384,2.94
512000384,3.06
512000384,3.06
512000384,3.06
512000384,3.06
512000384,3.06
5200001000,4.62
5200001000,7.22
540000336,37.72
560000360,11.23
560000600,35.66
573000384,1.52
5750001152,24.69
5750001152,24.69
576000288,5.57
576000288,10
576000288,3.24
576000288,1.62
576000288,3.24
576000288,4.57
576000288,4.57
576000288,4.57
576000288,4.57
576000288,4.57
576000288,3.32
576000288,12.37
576000288,6.58
576000288,6.58
576000288,6.58
576000288,6.58
576000288,6.58
576000288,6.58
576000288,6.58
576000288,6.58
576000288,6.58
576000288,6.58
576000288,6.58
576000288,2.41
576000288,15
576000288,3.2
576000288,3.21
576000288,1.38
576000288,1.38
576000288,1.38
576000288,1.38
576000288,1.38
576000288,1.38
576000288,1.38
576000288,1.38
576000288,1.38
576000288,1.38
576000288,1.38
576000288,1.38
576000288,1.38
576000288,1.38
576000288,1.38
576000288,1.38
576000288,1.38
576000288,1.38
576000288,1.38
576000288,1.38
576000288,1.38
576000288,1.65
576000288,1.44
576000320,4.57
576000384,20.46
576000384,5.24
576000384,8.24
576000384,5.06
576000384,4.57
576000384,2.53
576000384,1.52
576000384,10.58
576000432,0.75
576000432,18.89
576000432,18.89
576000480,10.58
576000480,3.45
576000768,4.2
576000864,28.75
576000768,8.53
577000288,3.2
600000360,2.85
600000360,2.68
600000360,2.68
600000360,2.85
600000360,2.68
608000304,1.24
62720001080,42.24
640000368,9.72
