subiekt,plotn,tchel,km2,fo,nn,region
Kingisepp,,48667,,Severo-Zapadnyj,402,Leningradskaja oblast',
Kinel',,34472,,Privolzhskij,403,Samarskaja oblast',
Kineshma,,88113,,Tsentral'nyj,404,Ivanovskaja oblast',
Kireevsk,,25585,,Tsentral'nyj,405,Tul'skaja oblast',
Kirensk,,12652,,Sibirskij,406,Irkutskaja oblast',
Kirzhach,,30044,,Tsentral'nyj,407,Vladimirskaja oblast',
Kirillov,,7735,,Severo-Zapadnyj,408,Vologodskaja oblast',
Kirishi,,52826,,Severo-Zapadnyj,409,Leningradskaja oblast',
Kirov,,473668,,Privolzhskij,411,Kirovskaja oblast',
Kirovgrad,,21959,,Ural'skij,412,Sverdlovskaja oblast',
Kirovo-Chepetsk,,80920,,Privolzhskij,413,Kirovskaja oblast',
Kirovsk,,28659,,Severo-Zapadnyj,415,Murmanskaja oblast',
Kirs,,10420,,Privolzhskij,416,Kirovskaja oblast',
Kirsanov,,17240,,Tsentral'nyj,417,Tambovskaja oblast',
Kiselevsk,,98382,,Sibirskij,418,Kemerovskaja oblast',
Kislovodsk,,128502,,Severo-Kavkazskij,419,Stavropol'skij kraj,
Klin,,80584,,Tsentral'nyj,420,Moskovskaja oblast',
Klintsy,,62510,,Tsentral'nyj,421,Brjanskaja oblast',
Knjaginino,,6708,,Privolzhskij,422,Nizhegorodskaja oblast',
Kovdor,,18836,,Severo-Zapadnyj,423,Murmanskaja oblast',
Kovrov,,145492,,Tsentral'nyj,424,Vladimirskaja oblast',
Kovylkino,,21307,,Privolzhskij,425,Mordovija,
Kogalym,,58192,,Ural'skij,426,Hanty-Mansijskij AO - Jugra,
Kodinsk,,14835,,Sibirskij,427,Krasnojarskij kraj,
Kozel'sk,,18203,,Tsentral'nyj,428,Kaluzhskaja oblast',
Kozlovka,,10355,,Privolzhskij,429,Chuvashija,
Koz'modem'jansk,,21262,,Privolzhskij,430,Marij El,
Kola,,10447,,Severo-Zapadnyj,431,Murmanskaja oblast',
Kologriv,,3314,,Tsentral'nyj,432,Kostromskaja oblast',
Kolomna,,144642,,Tsentral'nyj,433,Moskovskaja oblast',
Kolpashevo,,24126,,Sibirskij,434,Tomskaja oblast',
Kol'chugino,,45804,,Tsentral'nyj,435,Vladimirskaja oblast',
Kommunar,,20265,,Severo-Zapadnyj,436,Leningradskaja oblast',
Komsomol'sk,,8693,,Tsentral'nyj,437,Ivanovskaja oblast',
Komsomol'sk-na-Amure,,263906,,Dal'nevostochnyj,438,Habarovskij kraj,
Konakovo,,41303,,Tsentral'nyj,439,Tverskaja oblast',
Kondopoga,,32978,,Severo-Zapadnyj,440,Karelija,
Kondrovo,,16672,,Tsentral'nyj,441,Kaluzhskaja oblast',
Konstantinovsk,,17926,,Juzhnyj,442,Rostovskaja oblast',
Kopejsk,,137604,,Ural'skij,443,Cheljabinskaja oblast',
Korablino,,12657,,Tsentral'nyj,444,Rjazanskaja oblast',
Korenovsk,,41179,,Juzhnyj,445,Krasnodarskij kraj,
Korkino,,38950,,Ural'skij,446,Cheljabinskaja oblast',
Korolev,,183452,,Tsentral'nyj,447,Moskovskaja oblast',
Korocha,,5877,,Tsentral'nyj,448,Belgorodskaja oblast',
Korsakov,,33526,,Dal'nevostochnyj,449,Sahalinskaja oblast',
Korjazhma,,39629,,Severo-Zapadnyj,450,Arhangel'skaja oblast',
Kosterevo,,9136,,Tsentral'nyj,451,Vladimirskaja oblast',
Kostomuksha,,28433,,Severo-Zapadnyj,452,Karelija,
Kostroma,,268617,,Tsentral'nyj,453,Kostromskaja oblast',
Kotel'niki,,32347,,Tsentral'nyj,454,Moskovskaja oblast',
Kotel'nikovo,,20441,,Juzhnyj,455,Volgogradskaja oblast',
Kotel'nich,,24979,,Privolzhskij,456,Kirovskaja oblast',
Kotlas,,60562,,Severo-Zapadnyj,457,Arhangel'skaja oblast',
Kotovo,,24104,,Juzhnyj,458,Volgogradskaja oblast',
Kotovsk,,31851,,Tsentral'nyj,459,Tambovskaja oblast',
Kohma,,29408,,Tsentral'nyj,460,Ivanovskaja oblast',
Krasavino,,7003,,Severo-Zapadnyj,461,Vologodskaja oblast',
Krasnoarmejsk,,24362,,Privolzhskij,463,Saratovskaja oblast',
Krasnovishersk,,17129,,Privolzhskij,464,Permskij kraj,
Krasnogorsk,,116738,,Tsentral'nyj,465,Moskovskaja oblast',
Krasnodar,,744933,,Juzhnyj,466,Krasnodarskij kraj,
Krasnozavodsk,,13432,,Tsentral'nyj,467,Moskovskaja oblast',
Krasnoznamensk,,36057,,Tsentral'nyj,469,Moskovskaja oblast',
Krasnokamensk,,55668,,Sibirskij,470,Zabajkal'skij kraj,
Krasnokamsk,,52632,,Privolzhskij,471,Permskij kraj,
KrasnoperekopskOsparivaetsja,,26268,,Juzhnyj,472,Krym,
Krasnoslobodsk,,10151,,Privolzhskij,474,Mordovija,
Krasnotur'insk,,59701,,Ural'skij,475,Sverdlovskaja oblast',
Krasnoural'sk,,24973,,Ural'skij,476,Sverdlovskaja oblast',
Krasnoufimsk,,39765,,Ural'skij,477,Sverdlovskaja oblast',
Krasnojarsk,,973826,,Sibirskij,478,Krasnojarskij kraj,
Krasnyj Kut,,14420,,Privolzhskij,479,Saratovskaja oblast',
Krasnyj Sulin,,40866,,Juzhnyj,480,Rostovskaja oblast',
Krasnyj Holm,,5608,,Tsentral'nyj,481,Tverskaja oblast',
Kremenki,,11617,,Tsentral'nyj,482,Kaluzhskaja oblast',
Kropotkin,,80743,,Juzhnyj,483,Krasnodarskij kraj,
Krymsk,,57370,,Juzhnyj,484,Krasnodarskij kraj,
Kstovo,,66641,,Privolzhskij,485,Nizhegorodskaja oblast',
Kubinka,,22918,,Tsentral'nyj,486,Moskovskaja oblast',
Kuvandyk,,26176,,Privolzhskij,487,Orenburgskaja oblast',
Kuvshinovo,,10008,,Tsentral'nyj,488,Tverskaja oblast',
Kudrovo,,13501,,Severo-Zapadnyj,489,Leningradskaja oblast',
Kudymkar,,30711,,Privolzhskij,490,Permskij kraj,
Kuznetsk,,88886,,Privolzhskij,491,Penzenskaja oblast',
Kujbyshev,,47278,,Sibirskij,492,Novosibirskaja oblast',
Kukmor,,17700,,Privolzhskij,493,Tatarstan,
Kulebaki,,35762,,Privolzhskij,494,Nizhegorodskaja oblast',
Kumertau,,62854,,Privolzhskij,495,Bashkortostan,
Kungur,,67857,,Privolzhskij,496,Permskij kraj,
Kupino,,15448,,Sibirskij,497,Novosibirskaja oblast',
Kurgan,,333640,,Ural'skij,498,Kurganskaja oblast',
Kurganinsk,,47974,,Juzhnyj,499,Krasnodarskij kraj,
Kuril'sk,,2070,,Dal'nevostochnyj,500,Sahalinskaja oblast',
Kurlovo,,6791,,Tsentral'nyj,501,Vladimirskaja oblast',
Kurovskoe,,21821,,Tsentral'nyj,502,Moskovskaja oblast',
Kursk,,414595,,Tsentral'nyj,503,Kurskaja oblast',
Kurtamysh,,17098,,Ural'skij,504,Kurganskaja oblast',
Kurchaloj,,25672,,Severo-Kavkazskij,505,Chechnja,
Kurchatov,,42691,,Tsentral'nyj,506,Kurskaja oblast',
Kusa,,18792,,Ural'skij,507,Cheljabinskaja oblast',
Kushva,,33027,,Ural'skij,508,Sverdlovskaja oblast',
Kyzyl,,109906,,Sibirskij,509,Tyva,
Kyshtym,,38950,,Ural'skij,510,Cheljabinskaja oblast',
Kjahta,,20013,,Sibirskij,511,Burjatija,
Labinsk,,62822,,Juzhnyj,512,Krasnodarskij kraj,
Labytnangi,,26948,,Ural'skij,513,Jamalo-Nenetskij AO,
Lagan',,14323,,Juzhnyj,514,Kalmykija,
Ladushkin,,3788,,Severo-Zapadnyj,515,Kaliningradskaja oblast',
Laishevo,,7735,,Privolzhskij,516,Tatarstan,
Lakinsk,,15707,,Tsentral'nyj,517,Vladimirskaja oblast',
Langepas,,41675,,Ural'skij,518,Hanty-Mansijskij AO - Jugra,
Lahdenpoh'ja,,7818,,Severo-Zapadnyj,519,Karelija,
Lebedjan',,20991,,Tsentral'nyj,520,Lipetskaja oblast',
Leninogorsk,,64145,,Privolzhskij,521,Tatarstan,
Leninsk,,15527,,Juzhnyj,522,Volgogradskaja oblast',
Leninsk-Kuznetskij,,101666,,Sibirskij,523,Kemerovskaja oblast',
Lensk,,24955,,Dal'nevostochnyj,524,Jakutija,
Lermontov,,22540,,Severo-Kavkazskij,525,Stavropol'skij kraj,
Lesnoj,,52464,,Ural'skij,526,Sverdlovskaja oblast',
Lesozavodsk,,36975,,Dal'nevostochnyj,527,Primorskij kraj,
Lesosibirsk,,61146,,Sibirskij,528,Krasnojarskij kraj,
Livny,,50430,,Tsentral'nyj,529,Orlovskaja oblast',
Likino-Dulevo,,31331,,Tsentral'nyj,530,Moskovskaja oblast',
Lipetsk,,508124,,Tsentral'nyj,531,Lipetskaja oblast',
Lipki,,8741,,Tsentral'nyj,532,Tul'skaja oblast',
Liski,,55864,,Tsentral'nyj,533,Voronezhskaja oblast',
Lihoslavl',,12259,,Tsentral'nyj,534,Tverskaja oblast',
Lobnja,,74350,,Tsentral'nyj,535,Moskovskaja oblast',
Lodejnoe Pole,,21053,,Severo-Zapadnyj,536,Leningradskaja oblast',
Losino-Petrovskij,,22550,,Tsentral'nyj,537,Moskovskaja oblast',
Luga,,36409,,Severo-Zapadnyj,538,Leningradskaja oblast',
Luza,,11262,,Privolzhskij,539,Kirovskaja oblast',
Lukojanov,,14949,,Privolzhskij,540,Nizhegorodskaja oblast',
Luhovitsy,,29849,,Tsentral'nyj,541,Moskovskaja oblast',
Lyskovo,,21882,,Privolzhskij,542,Nizhegorodskaja oblast',
Lys'va,,67712,,Privolzhskij,543,Permskij kraj,
Lytkarino,,55147,,Tsentral'nyj,544,Moskovskaja oblast',
L'gov,,21452,,Tsentral'nyj,545,Kurskaja oblast',
Ljuban',,4188,,Severo-Zapadnyj,546,Leningradskaja oblast',
Ljubertsy,,171978,,Tsentral'nyj,547,Moskovskaja oblast',
Ljubim,,5553,,Tsentral'nyj,548,Jaroslavskaja oblast',
Ljudinovo,,40550,,Tsentral'nyj,549,Kaluzhskaja oblast',
Ljantor,,38922,,Ural'skij,550,Hanty-Mansijskij AO - Jugra,
Magadan,,95925,,Dal'nevostochnyj,551,Magadanskaja oblast',
Magas,,2505,,Severo-Kavkazskij,552,Ingushetija,
Magnitogorsk,,408401,,Ural'skij,553,Cheljabinskaja oblast',
Majkop,,144055,,Juzhnyj,554,Adygeja,
Majskij,,26755,,Severo-Kavkazskij,555,Kabardino-Balkarija,
Makarov,,6788,,Dal'nevostochnyj,556,Sahalinskaja oblast',
Makar'ev,,7114,,Tsentral'nyj,557,Kostromskaja oblast',
Makushino,,8337,,Ural'skij,558,Kurganskaja oblast',
Malaja Vishera,,12461,,Severo-Zapadnyj,559,Novgorodskaja oblast',
Malgobek,,31076,,Severo-Kavkazskij,560,Ingushetija,
Malmyzh,,8265,,Privolzhskij,561,Kirovskaja oblast',
Maloarhangel'sk,,3872,,Tsentral'nyj,562,Orlovskaja oblast',
Malojaroslavets,,30401,,Tsentral'nyj,563,Kaluzhskaja oblast',
Mamadysh,,14432,,Privolzhskij,564,Tatarstan,
Mamonovo,,7757,,Severo-Zapadnyj,565,Kaliningradskaja oblast',
Manturovo,,17479,,Tsentral'nyj,566,Kostromskaja oblast',
Mariinsk,,40522,,Sibirskij,567,Kemerovskaja oblast',
Mariinskij Posad,,10186,,Privolzhskij,568,Chuvashija,
Marks,,31535,,Privolzhskij,569,Saratovskaja oblast',
Mahachkala,,577990,,Severo-Kavkazskij,570,Dagestan,
Mglin,,7916,,Tsentral'nyj,571,Brjanskaja oblast',
Megion,,49471,,Ural'skij,572,Hanty-Mansijskij AO - Jugra,
Medvezh'egorsk,,15536,,Severo-Zapadnyj,573,Karelija,
Mednogorsk,,27253,,Privolzhskij,574,Orenburgskaja oblast',
Medyn',,8298,,Tsentral'nyj,575,Kaluzhskaja oblast',
Mezhgor'e,,17353,,Privolzhskij,576,Bashkortostan,
Mezhdurechensk,,101995,,Sibirskij,577,Kemerovskaja oblast',
Mezen',,3599,,Severo-Zapadnyj,578,Arhangel'skaja oblast',
Melenki,,15208,,Tsentral'nyj,579,Vladimirskaja oblast',
Meleuz,,61408,,Privolzhskij,580,Bashkortostan,
Mendeleevsk,,22075,,Privolzhskij,581,Tatarstan,
Menzelinsk,,16474,,Privolzhskij,582,Tatarstan,
Meschovsk,,4101,,Tsentral'nyj,583,Kaluzhskaja oblast',
Miass,,151812,,Ural'skij,584,Cheljabinskaja oblast',
Mikun',,10732,,Severo-Zapadnyj,585,Komi,
Millerovo,,36493,,Juzhnyj,586,Rostovskaja oblast',
Mineral'nye Vody,,76715,,Severo-Kavkazskij,587,Stavropol'skij kraj,
Minusinsk,,71171,,Sibirskij,588,Krasnojarskij kraj,
Min'jar,,10195,,Ural'skij,589,Cheljabinskaja oblast',
Mirnyj,,30259,,Severo-Zapadnyj,591,Arhangel'skaja oblast',
Mihajlov,,11783,,Tsentral'nyj,592,Rjazanskaja oblast',
Mihajlovka,,59153,,Juzhnyj,593,Volgogradskaja oblast',
Mihajlovsk,,71018,,Severo-Kavkazskij,595,Stavropol'skij kraj,
Michurinsk,,98758,,Tsentral'nyj,596,Tambovskaja oblast',
Mogocha,,13228,,Sibirskij,597,Zabajkal'skij kraj,
Mozhajsk,,31388,,Tsentral'nyj,598,Moskovskaja oblast',
Mozhga,,47959,,Privolzhskij,599,Udmurtija,
Mozdok,,38748,,Severo-Kavkazskij,600,Severnaja Osetija - Alanija,
Monchegorsk,,45381,,Severo-Zapadnyj,601,Murmanskaja oblast',
Morozovsk,,27644,,Juzhnyj,602,Rostovskaja oblast',
Morshansk,,41550,,Tsentral'nyj,603,Tambovskaja oblast',
Mosal'sk,,4285,,Tsentral'nyj,604,Kaluzhskaja oblast',
Moskva,,11514330,,Tsentral'nyj,605,Moskva,
Muravlenko,,33401,,Ural'skij,606,Jamalo-Nenetskij AO,
Murashi,,6752,,Privolzhskij,607,Kirovskaja oblast',
Murino,,19775,,Severo-Zapadnyj,608,Leningradskaja oblast',
Murmansk,,307664,,Severo-Zapadnyj,609,Murmanskaja oblast',
Murom,,116078,,Tsentral'nyj,610,Vladimirskaja oblast',
Mtsensk,,43216,,Tsentral'nyj,611,Orlovskaja oblast',
Myski,,43029,,Sibirskij,612,Kemerovskaja oblast',
Mytischi,,173341,,Tsentral'nyj,613,Moskovskaja oblast',
Myshkin,,5932,,Tsentral'nyj,614,Jaroslavskaja oblast',
Naberezhnye Chelny,,513242,,Privolzhskij,615,Tatarstan,
Navashino,,16413,,Privolzhskij,616,Nizhegorodskaja oblast',
Navoloki,,10207,,Tsentral'nyj,617,Ivanovskaja oblast',
Nadym,,46550,,Ural'skij,618,Jamalo-Nenetskij AO,
Nazarovo,,52829,,Sibirskij,619,Krasnojarskij kraj,
Nazran',,93357,,Severo-Kavkazskij,620,Ingushetija,
Nazyvaevsk,,12119,,Sibirskij,621,Omskaja oblast',
Nal'chik,,240095,,Severo-Kavkazskij,622,Kabardino-Balkarija,
Narimanov,,11386,,Juzhnyj,623,Astrahanskaja oblast',
Naro-Fominsk,,64640,,Tsentral'nyj,624,Moskovskaja oblast',
Nartkala,,31679,,Severo-Kavkazskij,625,Kabardino-Balkarija,
Nar'jan-Mar,,21296,,Severo-Zapadnyj,626,Nenetskij AO,
Nahodka,,159695,,Dal'nevostochnyj,627,Primorskij kraj,
Nevel',,16324,,Severo-Zapadnyj,628,Pskovskaja oblast',
Nevel'sk,,11682,,Dal'nevostochnyj,629,Sahalinskaja oblast',
Nevinnomyssk,,118351,,Severo-Kavkazskij,630,Stavropol'skij kraj,
Nev'jansk,,25147,,Ural'skij,631,Sverdlovskaja oblast',
Nelidovo,,22886,,Tsentral'nyj,632,Tverskaja oblast',
Neman,,11794,,Severo-Zapadnyj,633,Kaliningradskaja oblast',
Nerehta,,22817,,Tsentral'nyj,634,Kostromskaja oblast',
Nerchinsk,,14976,,Sibirskij,635,Zabajkal'skij kraj,
Nerjungri,,61746,,Dal'nevostochnyj,636,Jakutija,
Nesterov,,4584,,Severo-Zapadnyj,637,Kaliningradskaja oblast',
Neftegorsk,,18732,,Privolzhskij,638,Samarskaja oblast',
Neftekamsk,,121757,,Privolzhskij,639,Bashkortostan,
Neftekumsk,,27700,,Severo-Kavkazskij,640,Stavropol'skij kraj,
Neftejugansk,,123276,,Ural'skij,641,Hanty-Mansijskij AO - Jugra,
Neja,,9827,,Tsentral'nyj,642,Kostromskaja oblast',
Nizhnevartovsk,,251860,,Ural'skij,643,Hanty-Mansijskij AO - Jugra,
Nizhnekamsk,,234108,,Privolzhskij,644,Tatarstan,
Nizhneudinsk,,37056,,Sibirskij,645,Irkutskaja oblast',
Nizhnie Sergi,,11217,,Ural'skij,646,Sverdlovskaja oblast',
Nizhnij Lomov,,22678,,Privolzhskij,647,Penzenskaja oblast',
Nizhnij Novgorod,,1250615,,Privolzhskij,648,Nizhegorodskaja oblast',
Nizhnij Tagil,,361883,,Ural'skij,649,Sverdlovskaja oblast',
Nizhnjaja Salda,,17969,,Ural'skij,650,Sverdlovskaja oblast',
Nizhnjaja Tura,,21596,,Ural'skij,651,Sverdlovskaja oblast',
Nikolaevsk,,15081,,Juzhnyj,652,Volgogradskaja oblast',
Nikolaevsk-na-Amure,,22773,,Dal'nevostochnyj,653,Habarovskij kraj,
Nikol'sk,,22471,,Privolzhskij,655,Penzenskaja oblast',
Nikol'skoe,,19345,,Severo-Zapadnyj,656,Leningradskaja oblast',
Novaja Ladoga,,8890,,Severo-Zapadnyj,657,Leningradskaja oblast',
Novaja Ljalja,,12400,,Ural'skij,658,Sverdlovskaja oblast',
Novoaleksandrovsk,,26759,,Severo-Kavkazskij,659,Stavropol'skij kraj,
Novoaltajsk,,73134,,Sibirskij,660,Altajskij kraj,
Novoanninskij,,17911,,Juzhnyj,661,Volgogradskaja oblast',
Novovoronezh,,32635,,Tsentral'nyj,662,Voronezhskaja oblast',
Novodvinsk,,40612,,Severo-Zapadnyj,663,Arhangel'skaja oblast',
Novozybkov,,40552,,Tsentral'nyj,664,Brjanskaja oblast',
Novokubansk,,34847,,Juzhnyj,665,Krasnodarskij kraj,
Novokuznetsk,,547885,,Sibirskij,666,Kemerovskaja oblast',
Novokujbyshevsk,,108449,,Privolzhskij,667,Samarskaja oblast',
Novomichurinsk,,19309,,Tsentral'nyj,668,Rjazanskaja oblast',
Novomoskovsk,,131227,,Tsentral'nyj,669,Tul'skaja oblast',
Novopavlovsk,,26556,,Severo-Kavkazskij,670,Stavropol'skij kraj,
Novorzhev,,3695,,Severo-Zapadnyj,671,Pskovskaja oblast',
Novorossijsk,,241788,,Juzhnyj,672,Krasnodarskij kraj,
Novosibirsk,,1498921,,Sibirskij,673,Novosibirskaja oblast',
Novosil',,3799,,Tsentral'nyj,674,Orlovskaja oblast',
Novosokol'niki,,8119,,Severo-Zapadnyj,675,Pskovskaja oblast',
Novotroitsk,,97914,,Privolzhskij,676,Orenburgskaja oblast',
Novouzensk,,17015,,Privolzhskij,677,Saratovskaja oblast',
Novoul'janovsk,,16032,,Privolzhskij,678,Ul'janovskaja oblast',
Novoural'sk,,91813,,Ural'skij,679,Sverdlovskaja oblast',
Novohopersk,,6849,,Tsentral'nyj,680,Voronezhskaja oblast',
Novocheboksarsk,,124094,,Privolzhskij,681,Chuvashija,
Novocherkassk,,169039,,Juzhnyj,682,Rostovskaja oblast',
Novoshahtinsk,,111087,,Juzhnyj,683,Rostovskaja oblast',
Novyj Oskol,,19530,,Tsentral'nyj,684,Belgorodskaja oblast',
Novyj Urengoj,,104144,,Ural'skij,685,Jamalo-Nenetskij AO,
Noginsk,,99762,,Tsentral'nyj,686,Moskovskaja oblast',
Nolinsk,,9556,,Privolzhskij,687,Kirovskaja oblast',
Noril'sk,,175301,,Sibirskij,688,Krasnojarskij kraj,
Nojabr'sk,,110572,,Ural'skij,689,Jamalo-Nenetskij AO,
Nurlat,,32600,,Privolzhskij,690,Tatarstan,
Nytva,,19041,,Privolzhskij,691,Permskij kraj,
Njurba,,10156,,Dal'nevostochnyj,692,Jakutija,
Njagan',,54903,,Ural'skij,693,Hanty-Mansijskij AO - Jugra,
Njazepetrovsk,,12452,,Ural'skij,694,Cheljabinskaja oblast',
Njandoma,,22354,,Severo-Zapadnyj,695,Arhangel'skaja oblast',
Obluch'e,,9379,,Dal'nevostochnyj,696,Evrejskaja AO,
Obninsk,,104798,,Tsentral'nyj,697,Kaluzhskaja oblast',
Obojan',,13562,,Tsentral'nyj,698,Kurskaja oblast',
Ob',,26137,,Sibirskij,699,Novosibirskaja oblast',
Odintsovo,,139021,,Tsentral'nyj,700,Moskovskaja oblast',
Ozersk,,82268,,Ural'skij,702,Cheljabinskaja oblast',
Ozery,,25788,,Tsentral'nyj,703,Moskovskaja oblast',
Oktjabr'sk,,27244,,Privolzhskij,704,Samarskaja oblast',
Oktjabr'skij,,109379,,Privolzhskij,705,Bashkortostan,
Okulovka,,12464,,Severo-Zapadnyj,706,Novgorodskaja oblast',
Olenegorsk,,23079,,Severo-Zapadnyj,708,Murmanskaja oblast',
Olonets,,9060,,Severo-Zapadnyj,709,Karelija,
Olekminsk,,9487,,Dal'nevostochnyj,707,Jakutija,
Omsk,,1154000,,Sibirskij,710,Omskaja oblast',
Omutninsk,,23618,,Privolzhskij,711,Kirovskaja oblast',
Onega,,21359,,Severo-Zapadnyj,712,Arhangel'skaja oblast',
Opochka,,11601,,Severo-Zapadnyj,713,Pskovskaja oblast',
Orenburg,,570329,,Privolzhskij,715,Orenburgskaja oblast',
Orehovo-Zuevo,,120620,,Tsentral'nyj,716,Moskovskaja oblast',
Orlov,,6959,,Privolzhskij,717,Kirovskaja oblast',
Orsk,,238006,,Privolzhskij,718,Orenburgskaja oblast',
Orel,,317854,,Tsentral'nyj,714,Orlovskaja oblast',
Osa,,22420,,Privolzhskij,719,Permskij kraj,
Osinniki,,45997,,Sibirskij,720,Kemerovskaja oblast',
Ostashkov,,18073,,Tsentral'nyj,721,Tverskaja oblast',
Ostrov,,21670,,Severo-Zapadnyj,722,Pskovskaja oblast',
Ostrovnoj,,2177,,Severo-Zapadnyj,723,Murmanskaja oblast',
Ostrogozhsk,,33842,,Tsentral'nyj,724,Voronezhskaja oblast',
Otradnoe,,23874,,Severo-Zapadnyj,725,Leningradskaja oblast',
Otradnyj,,47709,,Privolzhskij,726,Samarskaja oblast',
Oha,,23007,,Dal'nevostochnyj,727,Sahalinskaja oblast',
Ohansk,,7597,,Privolzhskij,728,Permskij kraj,
Ocher,,15003,,Privolzhskij,729,Permskij kraj,
Pavlovo,,60699,,Privolzhskij,730,Nizhegorodskaja oblast',
Pavlovsk,,25126,,Tsentral'nyj,731,Voronezhskaja oblast',
Pavlovskij Posad,,63771,,Tsentral'nyj,732,Moskovskaja oblast',
Pallasovka,,15984,,Juzhnyj,733,Volgogradskaja oblast',
Partizansk,,38648,,Dal'nevostochnyj,734,Primorskij kraj,
Pevek,,4161,,Dal'nevostochnyj,735,Chukotskij AO,
Penza,,519592,,Privolzhskij,736,Penzenskaja oblast',
Pervomajsk,,14567,,Privolzhskij,737,Nizhegorodskaja oblast',
Pervoural'sk,,149800,,Ural'skij,738,Sverdlovskaja oblast',
Perevoz,,9201,,Privolzhskij,739,Nizhegorodskaja oblast',
Peresvet,,14142,,Tsentral'nyj,740,Moskovskaja oblast',
Pereslavl'-Zalesskij,,41923,,Tsentral'nyj,741,Jaroslavskaja oblast',
Perm',,1000679,,Privolzhskij,742,Permskij kraj,
Pestovo,,15911,,Severo-Zapadnyj,743,Novgorodskaja oblast',
Petrov Val,,13264,,Juzhnyj,744,Volgogradskaja oblast',
Petrovsk,,31158,,Privolzhskij,745,Saratovskaja oblast',
Petrovsk-Zabajkal'skij,,18555,,Sibirskij,746,Zabajkal'skij kraj,
Petrozavodsk,,263540,,Severo-Zapadnyj,747,Karelija,
Petropavlovsk-Kamchatskij,,179526,,Dal'nevostochnyj,748,Kamchatskij kraj,
Petuhovo,,11291,,Ural'skij,749,Kurganskaja oblast',
Petushki,,15167,,Tsentral'nyj,750,Vladimirskaja oblast',
Pechora,,43458,,Severo-Zapadnyj,751,Komi,
Pechory,,12308,,Severo-Zapadnyj,752,Pskovskaja oblast',
Pikalevo,,21567,,Severo-Zapadnyj,753,Leningradskaja oblast',
Pionerskij,,11017,,Severo-Zapadnyj,754,Kaliningradskaja oblast',
Pitkjaranta,,11484,,Severo-Zapadnyj,755,Karelija,
Plavsk,,16248,,Tsentral'nyj,756,Tul'skaja oblast',
Plast,,17344,,Ural'skij,757,Cheljabinskaja oblast',
Ples,,2341,,Tsentral'nyj,758,Ivanovskaja oblast',
Povorino,,17692,,Tsentral'nyj,759,Voronezhskaja oblast',
Podol'sk,,187956,,Tsentral'nyj,760,Moskovskaja oblast',
Podporozh'e,,18729,,Severo-Zapadnyj,761,Leningradskaja oblast',
Pokachi,,17053,,Ural'skij,762,Hanty-Mansijskij AO - Jugra,
Pokrov,,17762,,Tsentral'nyj,763,Vladimirskaja oblast',
Pokrovsk,,9495,,Dal'nevostochnyj,764,Jakutija,
Polevskoj,,64316,,Ural'skij,765,Sverdlovskaja oblast',
Polessk,,7580,,Severo-Zapadnyj,766,Kaliningradskaja oblast',
Polysaevo,,27624,,Sibirskij,767,Kemerovskaja oblast',
Poljarnye Zori,,15106,,Severo-Zapadnyj,768,Murmanskaja oblast',
Poljarnyj,,17304,,Severo-Zapadnyj,769,Murmanskaja oblast',
Poronajsk,,16461,,Dal'nevostochnyj,770,Sahalinskaja oblast',
Porhov,,10608,,Severo-Zapadnyj,771,Pskovskaja oblast',
Pohvistnevo,,28181,,Privolzhskij,772,Samarskaja oblast',
Pochep,,17933,,Tsentral'nyj,773,Brjanskaja oblast',
Pochinok,,8776,,Tsentral'nyj,774,Smolenskaja oblast',
Poshehon'e,,6085,,Tsentral'nyj,775,Jaroslavskaja oblast',
Pravdinsk,,4323,,Severo-Zapadnyj,776,Kaliningradskaja oblast',
Privolzhsk,,16749,,Tsentral'nyj,777,Ivanovskaja oblast',
Primorsk,,6122,,Severo-Zapadnyj,779,Leningradskaja oblast',
Primorsko-Ahtarsk,,32253,,Juzhnyj,780,Krasnodarskij kraj,
Priozersk,,18929,,Severo-Zapadnyj,781,Leningradskaja oblast',
Prokop'evsk,,210150,,Sibirskij,782,Kemerovskaja oblast',
Proletarsk,,20267,,Juzhnyj,783,Rostovskaja oblast',
Protvino,,37308,,Tsentral'nyj,784,Moskovskaja oblast',
Prohladnyj,,59595,,Severo-Kavkazskij,785,Kabardino-Balkarija,
Pskov,,203974,,Severo-Zapadnyj,786,Pskovskaja oblast',
Pugachev,,41705,,Privolzhskij,787,Saratovskaja oblast',
Pudozh,,9698,,Severo-Zapadnyj,788,Karelija,
Pustoshka,,4619,,Severo-Zapadnyj,789,Pskovskaja oblast',
Puchezh,,8583,,Tsentral'nyj,790,Ivanovskaja oblast',
Pushkino,,102840,,Tsentral'nyj,791,Moskovskaja oblast',
Puschino,,20263,,Tsentral'nyj,792,Moskovskaja oblast',
Pytalovo,,5826,,Severo-Zapadnyj,793,Pskovskaja oblast',
Pyt'-Jah,,41453,,Ural'skij,794,Hanty-Mansijskij AO - Jugra,
Pjatigorsk,,142397,,Severo-Kavkazskij,795,Stavropol'skij kraj,
Raduzhnyj,,43394,,Ural'skij,797,Hanty-Mansijskij AO - Jugra,
Rajchihinsk,,20499,,Dal'nevostochnyj,798,Amurskaja oblast',
Ramenskoe,,96355,,Tsentral'nyj,799,Moskovskaja oblast',
Rasskazovo,,45484,,Tsentral'nyj,800,Tambovskaja oblast',
Revda,,61713,,Ural'skij,801,Sverdlovskaja oblast',
