subiekt,plotn,tchel,km2,fo,nn,region
Balahna,,51526,,Privolzhskij,67,Nizhegorodskaja oblast',
Balashiha,,215353,,Tsentral'nyj,68,Moskovskaja oblast',
Balashov,,82222,,Privolzhskij,69,Saratovskaja oblast',
Balej,,12536,,Sibirskij,70,Zabajkal'skij kraj,
Baltijsk,,32670,,Severo-Zapadnyj,71,Kaliningradskaja oblast',
Barabinsk,,30250,,Sibirskij,72,Novosibirskaja oblast',
Barnaul,,635585,,Sibirskij,73,Altajskij kraj,
Barysh,,17149,,Privolzhskij,74,Ul'janovskaja oblast',
Batajsk,,112400,,Juzhnyj,75,Rostovskaja oblast',
BahchisarajOsparivaetsja,,27448,,Juzhnyj,76,Krym,
Bezhetsk,,24517,,Tsentral'nyj,77,Tverskaja oblast',
Belaja Kalitva,,43688,,Juzhnyj,78,Rostovskaja oblast',
Belaja Holunitsa,,11232,,Privolzhskij,79,Kirovskaja oblast',
Belgorod,,356426,,Tsentral'nyj,80,Belgorodskaja oblast',
Belebej,,60183,,Privolzhskij,81,Bashkortostan,
Belinskij,,8567,,Privolzhskij,83,Penzenskaja oblast',
Belovo,,76752,,Sibirskij,84,Kemerovskaja oblast',
Belogorsk,,68220,,Dal'nevostochnyj,85,Amurskaja oblast',
BelogorskOsparivaetsja,,16354,,Juzhnyj,86,Krym,
Belozersk,,9614,,Severo-Zapadnyj,87,Vologodskaja oblast',
Belokuriha,,15072,,Sibirskij,88,Altajskij kraj,
Belomorsk,,11217,,Severo-Zapadnyj,89,Karelija,
Beloozerskij,,17842,,Tsentral'nyj,90,Moskovskaja oblast',
Beloretsk,,68804,,Privolzhskij,91,Bashkortostan,
Belorechensk,,53891,,Juzhnyj,92,Krasnodarskij kraj,
Belousovo,,8432,,Tsentral'nyj,93,Kaluzhskaja oblast',
Belojarskij,,20283,,Ural'skij,94,Hanty-Mansijskij AO - Jugra,
Belyj,,3771,,Tsentral'nyj,95,Tverskaja oblast',
Belev,,13918,,Tsentral'nyj,82,Tul'skaja oblast',
Berdsk,,98809,,Sibirskij,96,Novosibirskaja oblast',
Berezniki,,156350,,Privolzhskij,97,Permskij kraj,
Berezovskij,,51583,,Ural'skij,99,Sverdlovskaja oblast',
Beslan,,36724,,Severo-Kavkazskij,100,Severnaja Osetija - Alanija,
Bijsk,,203826,,Sibirskij,101,Altajskij kraj,
Bikin,,17156,,Dal'nevostochnyj,102,Habarovskij kraj,
