article,lvl2,main,up,location,href,meter_1,meter_2,pix_1,pix_2,name,in_rub,hronometraz,v_sutki,dney,anonce_code,anonce
Voronezh004,/voronezhskaya-oblast,Rossija,Voronezhskaja oblast',Voronezh,/voronezhskaya-oblast/voronezh/ploshchad-lenina-12-revolyutsii,9,12,720,576,Ploschad' Lenina; 12 - Revoljutsii,16644,10,204,10,53477215,Svetodiodnyj ekran
Voronezh005,/voronezhskaya-oblast,Rossija,Voronezhskaja oblast',Voronezh,/voronezhskaya-oblast/voronezh/pushkinskaya-plekhanovskaya-otel-azimut,4,3,768,576,Pushkinskaja - Plehanovskaja (otel' "Azimut"),72000,10,648,7,53477415,Tsifrovoj bilbord
Voronezh006,/voronezhskaya-oblast,Rossija,Voronezhskaja oblast',Voronezh,/voronezhskaya-oblast/voronezh/leninskiy-kulibina,3,6,576,288,Leninskij - Kulibina,60000,10,648,10,53477415,Tsifrovoj bilbord
Voronezh007,/voronezhskaya-oblast,Rossija,Voronezhskaja oblast',Voronezh,/voronezhskaya-oblast/voronezh/ploshchad-chernyakhovskogo-privokzalnaya,3,6,576,288,Ploschad' Chernjahovskogo (Privokzal'naja),60000,10,648,7,53477415,Tsifrovoj bilbord
Voronezh008,/voronezhskaya-oblast,Rossija,Voronezhskaja oblast',Voronezh,/voronezhskaya-oblast/voronezh/kirova-20-letiya-oktyabrya-trts-solnechnyy-ray,5.1,4.1,720,576,Kirova - 20-letija Oktjabrja (TRTs "Solnechnyj Raj"),16644,10,192,10,53477215,Svetodiodnyj ekran
Voronezh009,/voronezhskaya-oblast,Rossija,Voronezhskaja oblast',Voronezh,/voronezhskaya-oblast/voronezh/koltsovskaya-plekhanovskaya,5.1,3.9,720,576,Kol'tsovskaja - Plehanovskaja,16644,10,180,10,53477215,Svetodiodnyj ekran
Voronezh010,/voronezhskaya-oblast,Rossija,Voronezhskaja oblast',Voronezh,/voronezhskaya-oblast/voronezh/moskovskiy-truda,5.1,4.1,720,576,Moskovskij - Truda,16644,10,204,10,53477215,Svetodiodnyj ekran
Voronezh011,/voronezhskaya-oblast,Rossija,Voronezhskaja oblast',Voronezh,/voronezhskaya-oblast/voronezh/20-let-oktyabrya-94-voroshilova,3,6,720,360,20 let Oktjabrja; 94 - Voroshilova,15255,5,1728,7,53477415,Tsifrovoj bilbord
Voronezh012,/voronezhskaya-oblast,Rossija,Voronezhskaja oblast',Voronezh,/voronezhskaya-oblast/voronezh/koltsovskaya-9-yanvarya-trts-galereya-chizhova,3,6,720,360,Kol'tsovskaja - 9 Janvarja (TRTs "Galereja Chizhova"),15255,5,1728,7,53477415,Tsifrovoj bilbord
Voronezh013,/voronezhskaya-oblast,Rossija,Voronezhskaja oblast',Voronezh,/voronezhskaya-oblast/voronezh/koltsovskaya-82,3,6,720,360,Kol'tsovskaja; 82,15255,5,1728,7,53477415,Tsifrovoj bilbord
Voronezh014,/voronezhskaya-oblast,Rossija,Voronezhskaja oblast',Voronezh,/voronezhskaya-oblast/voronezh/plekhanovskaya-51-donbasskaya-moskovskiy,3,6,720,360,Plehanovskaja; 51 - Donbasskaja - Moskovskij,15255,5,1728,7,53477415,Tsifrovoj bilbord
Voronezh015,/voronezhskaya-oblast,Rossija,Voronezhskaja oblast',Voronezh,/voronezhskaya-oblast/voronezh/revolyutsii-fridrikha-engelsa-uritskogo,3,6,720,360,Revoljutsii - Fridriha Engel'sa - Uritskogo,15255,5,1728,7,53477415,Tsifrovoj bilbord
Voronezh016,/voronezhskaya-oblast,Rossija,Voronezhskaja oblast',Voronezh,/voronezhskaya-oblast/voronezh/plekhanovskaya-14-pushkinskaya-storona-a,1.2,1.9,480,720,Plehanovskaja; 14 - Pushkinskaja (storona A),8832,10,648,7,62914215,Tsifrovoj lajtposter
Voronezh017,/voronezhskaya-oblast,Rossija,Voronezhskaja oblast',Voronezh,/voronezhskaya-oblast/voronezh/plekhanovskaya-14-pushkinskaya-storona-b,1.2,1.9,480,720,Plehanovskaja; 14 - Pushkinskaja (storona B),8832,10,648,7,62914215,Tsifrovoj lajtposter
Voronezh018,/voronezhskaya-oblast,Rossija,Voronezhskaja oblast',Voronezh,/voronezhskaya-oblast/voronezh/leninskiy-brusilova,3,6,576,288,Leninskij - Brusilova,21000,10,648,7,53477415,Tsifrovoj bilbord
Voronezh019,/voronezhskaya-oblast,Rossija,Voronezhskaja oblast',Voronezh,/voronezhskaya-oblast/voronezh/generala-lizyukova-62-tts-molodezhnyy,6,13.5,720,576,Generala Lizjukova; 62 (TTs "Molodezhnyj"),12000,10,90,7,53477215,Svetodiodnyj ekran
Gubkinskij001,/tyumen-region,Rossija,Tjumenskaja oblast',Gubkinskij,/tyumen-region/gubkinskiy/mira-gubkina-gdk-olimp,2.3,4,256,144,Mira - Gubkina (GDK "Olimp"),14000,10,150,14,53477215,Svetodiodnyj ekran
EKaterinburg016,/sverdlovskaya-oblast,Rossija,Sverdlovskaja oblast',Ekaterinburg,/sverdlovskaya-oblast/yekaterinburg/bazovyy-pereulok-47,8.2,5.12,512,320,Bazovyj Pereulok; 47,19642,10,96,7,53477215,Svetodiodnyj ekran
Ekaterinburg001,/sverdlovskaya-oblast,Rossija,Sverdlovskaja oblast',Ekaterinburg,/sverdlovskaya-oblast/yekaterinburg/pervomayskaya-lunacharskogo,8.1,6.1,1024,768,Pervomajskaja - Lunacharskogo,20774,10,288,7,53477215,Svetodiodnyj ekran
Ekaterinburg002,/sverdlovskaya-oblast,Rossija,Sverdlovskaja oblast',Ekaterinburg,/sverdlovskaya-oblast/yekaterinburg/chelyuskintsev-106,11.5,7.6,1024,768,Cheljuskintsev; 106,20774,10,288,7,53477215,Svetodiodnyj ekran
Ekaterinburg003,/sverdlovskaya-oblast,Rossija,Sverdlovskaja oblast',Ekaterinburg,/sverdlovskaya-oblast/yekaterinburg/karla-libknekhta-23b-tts-sila-voli-storona-a,6.8,4.6,1024,768,Karla Libknehta; 23B (TTs "SILA VOLI"; storona A),20774,10,288,7,53477215,Svetodiodnyj ekran
Ekaterinburg004,/sverdlovskaya-oblast,Rossija,Sverdlovskaja oblast',Ekaterinburg,/sverdlovskaya-oblast/yekaterinburg/karla-libknekhta-23b-tts-sila-voli-storona-b,6.8,4.6,1024,768,Karla Libknehta; 23B (TTs "SILA VOLI"; storona B),20774,10,288,7,53477215,Svetodiodnyj ekran
Ekaterinburg005,/sverdlovskaya-oblast,Rossija,Sverdlovskaja oblast',Ekaterinburg,/sverdlovskaya-oblast/yekaterinburg/malysheva-44-rubin-storona-a,8.1,6.1,1024,768,Malysheva; 44 ("Rubin"; storona A),20774,10,288,7,53477215,Svetodiodnyj ekran
Ekaterinburg006,/sverdlovskaya-oblast,Rossija,Sverdlovskaja oblast',Ekaterinburg,/sverdlovskaya-oblast/yekaterinburg/malysheva-44-rubin-storona-b,8.1,6.1,1024,768,Malysheva; 44 ("Rubin"; storona B),20774,10,288,7,53477215,Svetodiodnyj ekran
