article,lvl2,main,up,location,href,meter_1,meter_2,pix_1,pix_2,name,in_rub,hronometraz,v_sutki,dney,anonce_code,anonce
Москва279,/moskva/severo-vostochnyy-ao,Москва,Северо-Восточный АО,Северо-Восточный АО,/moskva/altufyevskoye-shosse-v-tsentr-50-m-do-peresecheniya-s-ul-stantsionnaya,3,6,720,360,Алтуфьевское шоссе (в центр; 50 м. до пересечения с ул. Станционная),82313,5,1410,7,53477415,Цифровой билборд
Москва280,/moskva/severo-vostochnyy-ao,Москва,Северо-Восточный АО,Северо-Восточный АО,/moskva/mira-v-tsentr-200-m-do-trts-zolotoy-vavilon,3,6,720,360,Мира (в центр; 200 м до ТРЦ «Золотой Вавилон»),90036,5,1410,7,53477415,Цифровой билборд
Москва281,/moskva/presnenskiy,Москва,Центральный АО,Пресненский,/moskva/ttk-severo-zapad-vneshnyaya-storona-s-yezd-na-zvenigorodskoye-shosse-3,3,6,720,360,ТТК; Северо-запад (внешняя сторона; съезд на Звенигородское шоссе),91587,5,1410,7,53477415,Цифровой билборд
Москва282,/moskva/yuzhnyy-ao,Москва,Южный АО,Южный АО,/moskva/ttk-yug-vneshnyaya-storona-s-yezd-s-varshavskogo-shosse-3,3,6,720,360,ТТК; Юг (внешняя сторона; съезд с Варшавского шоссе),82313,5,1410,7,53477415,Цифровой билборд
Москва283,/moskva/dorogomilovo,Москва,Западный АО,Дорогомилово,/moskva/ttk-zapad-vnutrennyaya-storona-150-m-do-s-yezda-na-kutuzovskiy-pr-t-3,3,6,720,360,ТТК; Запад (внутренняя сторона; 150 м до съезда на Кутузовский пр-т),94590,5,1410,7,53477415,Цифровой билборд
Москва284,/moskva/severo-vostochnyy-ao,Москва,Северо-Восточный АО,Северо-Восточный АО,/moskva/ttk-severo-vostok-vneshnyaya-storona-rizhskaya-estakada-400-m-do-s-yezda-na-pr-t-mira-3,3,6,720,360,ТТК; Северо-восток; внешняя сторона; Рижская эстакада; 400 м до съезда на пр-т Мира),90036,5,1410,7,53477415,Цифровой билборд
Москва285,/moskva/yuzhnoportovyy,Москва,Юго-Восточный АО,Южнопортовый,/moskva/velozavodskaya-v-tsentr-peresecheniye-s-ttk,3,6,720,360,Велозаводская (в центр; пересечение с ТТК),66898,5,1410,7,53477415,Цифровой билборд
Москва286,/moskva/dorogomilovo,Москва,Западный АО,Дорогомилово,/moskva/ttk-zapad-vneshnyaya-storona-200-m-posle-syezda-s-kutuzovskogo-pr-ta-storona-a,3,6,720,360,ТТК; Запад (внешняя сторона; 200 м после сьезда с Кутузовского пр-та; сторона А),97667,5,1410,7,53477415,Цифровой билборд
Москва287,/moskva/dorogomilovo,Москва,Западный АО,Дорогомилово,/moskva/ttk-zapad-vneshnyaya-storona-200-m-posle-syezda-s-kutuzovskogo-pr-ta-storona-b,3,6,720,360,ТТК; Запад (внешняя сторона; 200 м после сьезда с Кутузовского пр-та; сторона Б),94590,5,1410,7,53477415,Цифровой билборд
Москва288,/moskva/voykovskiy,Москва,Северный АО,Войковский,/moskva/leningradskoye-shosse-20-1-admirala-makarova,5,15,930,300,Ленинградское шоссе; 20/1 - Адмирала Макарова,234422,5,1440,7,53477615,Цифровой суперсайт
Москва289,/moskva/ramenki,Москва,Западный АО,Раменки,/moskva/minskaya-pri-dvizhenii-ot-kutuzovskogo-pr-ta,5,15,930,300,Минская (при движении от Кутузовского пр-та),192831,5,1440,7,53477615,Цифровой суперсайт
Москва290,/moskva/presnenskiy,Москва,Центральный АО,Пресненский,/moskva/ttk-bryanskiy-post,5,15,930,300,ТТК; Брянский пост,296927,5,1440,7,53477615,Цифровой суперсайт
Москва291,/moskva/khoroshevskiy,Москва,Северный АО,Хорошевский,/moskva/ttk-rozanova,5,15,930,300,ТТК; Розанова,296927,5,1440,7,53477615,Цифровой суперсайт
Москва292,/moskva/severo-vostochnyy-ao,Москва,Северо-Восточный АО,Северо-Восточный АО,/moskva/ttk-sushchevskiy-val-75-rizhskiy-vokzal,5,15,930,300,ТТК; Сущевский вал 75 (Рижский вокзал),296927,5,1440,7,53477615,Цифровой суперсайт
Москва293,/moskva/dorogomilovo,Москва,Западный АО,Дорогомилово,/moskva/ttk-s-yezd-s-kutuzovskogo-prospekta-na-ttk-450-m,5,15,930,300,ТТК; Съезд с Кутузовского проспекта на ТТК; 450 м,296927,5,1440,7,53477615,Цифровой суперсайт
Москва300,/moskovskaya-oblast/putilkovo,Россия,Московская область,Москва,/moskva/mkad-71-y-km-trts-veypark-gipermarket-okey-storona-a,5,15,930,300,МКАД (71-й км ТРЦ "Вэйпарк"; гипермаркет "О'кей"; сторона А),400000,5,16560,30,53477615,Цифровой суперсайт
Москва301,/moskovskaya-oblast/putilkovo,Россия,Московская область,Москва,/moskva/mkad-71-y-km-trts-veypark-gipermarket-okey-storona-b,5,15,930,300,МКАД (71-й км ТРЦ "Вэйпарк"; гипермаркет "О'кей"; сторона Б),350000,5,16560,30,53477615,Цифровой суперсайт
Москва302,/moskovskaya-oblast,Россия,Московская область,Москва,/moskva/novorizhskoye-shosse-22-y-km-storona-a,5,15,930,300,Новорижское шоссе (22-й км; сторона А),350000,5,16560,30,53477615,Цифровой суперсайт
Москва303,/moskovskaya-oblast,Россия,Московская область,Москва,/moskva/novorizhskoye-shosse-22-y-km-storona-b,5,15,930,300,Новорижское шоссе (22-й км; сторона Б),300000,5,16560,30,53477615,Цифровой суперсайт
Москва311,/moskovskaya-oblast/novoivanovskoye,Россия,Московская область,Москва,/moskva/minskoye-shosse-16-km,5,15,940,320,Минское шоссе 16 км,98000,5,1370,14,53477615,Цифровой суперсайт
Москва312,/moskovskaya-oblast/khimki,Россия,Московская область,Москва,/moskva/yubileynyy-druzhby,7.68,6.72,480,420,Юбилейный - Дружбы,28868,5,1370,14,53477615,Цифровой суперсайт
Москва313,/moskovskaya-oblast/shchelkovo,Россия,Московская область,Москва,/moskva/33km-shchelkovskogo-shosse-vl-8,4,7,676,384,33км Щелковского шоссе вл.8,9500,10,288,7,53477215,Светодиодный экран
Москва314,/moskovskaya-oblast/shchelkovo,Россия,Московская область,Москва,/moskva/talsinskaya-59-1,3,5,480,288,Талсинская 59/1,8438,10,320,7,53477215,Светодиодный экран
Москва315,/moskovskaya-oblast,Россия,Московская область,Москва,/moskva/trudovaya-25a,2,3,320,192,Трудовая; 25А,7000,10,320,7,53477215,Светодиодный экран
Москва316,/moskva/golyanovo,Москва,Восточный АО,Гольяново,/moskva/shchelkovskoye-shosse-vl-1,3,6,576,288,Щелковское шоссе; вл.1.,10625,10,320,7,53477215,Светодиодный экран
Москва317,/moskovskaya-oblast/shchelkovo,Россия,Московская область,Москва,/moskva/tsentralnaya-74-shchelkovskoye-shosse,3,4,400,300,Центральная; 74 (Щелковское шоссе),8438,10,288,7,53477215,Светодиодный экран
Москва318,/moskovskaya-oblast,Россия,Московская область,Москва,/moskva/sovetskiy-2a-trts-gagarin,4.03,7.68,1600,840,Советский; 2А (ТРЦ "Гагарин"),12000,10,216,14,53477215,Светодиодный экран
Москва319,/moskovskaya-oblast/zhukovskiy,Россия,Московская область,Москва,/moskva/gagarina-71,6.8,4.5,640,480,Гагарина; 71,12302,10,320,7,53477215,Светодиодный экран
Москва320,/moskovskaya-oblast/kolomna,Россия,Московская область,Москва,/moskva/golutvin-tk-aysberg,6.4,4.7,640,480,Голутвин (ТК "Айсберг"),13923,10,240,7,53477215,Светодиодный экран
Москва321,/moskovskaya-oblast/kolomna,Россия,Московская область,Москва,/moskva/ploshchad-sovetskaya-dom-torgovli,8,6,640,480,Площадь Советская (Дом Торговли),12628,10,240,7,53477215,Светодиодный экран
Москва322,/moskovskaya-oblast/lyubertsy,Россия,Московская область,Москва,/moskva/oktyabrskiy-krasnaya,4.6,5.8,672,896,Октябрьский - Красная,14230,10,280,7,53477215,Светодиодный экран
Москва323,/moskovskaya-oblast/khimki,Россия,Московская область,Москва,/moskva/molodezhnaya-1,7.68,6.72,864,720,Молодежная; 1,14197,10,288,7,53477215,Светодиодный экран
Москва324,/moskovskaya-oblast/ivanteyevka,Россия,Московская область,Москва,/moskva/fabrichnaya-1,3,3,280,280,Фабричная; 1,14800,10,257,30,53477215,Светодиодный экран
Москва325,/moskovskaya-oblast/pushkino,Россия,Московская область,Москва,/moskva/privokzalnaya-ploshchad,3,3,280,280,Привокзальная площадь,24220,10,360,30,53477215,Светодиодный экран
Москва326,/moskovskaya-oblast/pushkino,Россия,Московская область,Москва,/moskva/chekhova-12-tts-vit,3.84,6.72,672,384,Чехова; 12 (ТЦ "Вит"),29000,10,450,30,53477215,Светодиодный экран
Москва327,/moskovskaya-oblast/pushkino,Россия,Московская область,Москва,/moskva/yaroslavskoye-shosse-gipermarket-globus,6,9,864,576,Ярославское шоссе (Гипермаркет "Глобус"),62160,10,300,30,53477215,Светодиодный экран
Москва328,/moskovskaya-oblast/pushkino,Россия,Московская область,Москва,/moskva/yaroslavskoye-shosse-makdonalds,4.8,5.76,640,384,Ярославское шоссе (Макдональдс),29000,10,257,30,53477215,Светодиодный экран
Москва329,/moskovskaya-oblast/pushkino,Россия,Московская область,Москва,/moskva/chekhova-moskovskiy,5,6,576,480,Чехова - Московский,29000,10,274,30,53477215,Светодиодный экран
Москва330,/moskovskaya-oblast/lesnoy,Россия,Московская область,Москва,/moskva/pushkina-8b-1,3,4,384,288,Пушкина; 8Б/1,14800,10,257,30,53477215,Светодиодный экран
Москва331,/moskovskaya-oblast/pravdinskiy,Россия,Московская область,Москва,/moskva/lva-tolstogo-1-tts-pravdinskiy-dvorik,3.84,6.72,432,216,Льва Толстого; 1 (ТЦ "Правдинский дворик"),14800,10,308,30,53477215,Светодиодный экран
Москва332,/moskovskaya-oblast/pushkino,Россия,Московская область,Москва,/moskva/dzerzhinets-vyyezd-iz-goroda,4,6,576,384,Дзержинец (выезд из города),29000,10,274,30,53477215,Светодиодный экран
Москва333,/moskovskaya-oblast/pushkino,Россия,Московская область,Москва,/moskva/yaroslavskoye-shosse-30-km-300-m-levo-molkom,5,13,1248,480,Ярославское шоссе 30 км + 300 м лево ("Молком"),71680,10,1440,30,53477215,Светодиодный экран
Москва334,/moskovskaya-oblast/pushkino,Россия,Московская область,Москва,/moskva/yaroslavskoye-shosse-33-km-450-m-ptichiy-rynok,4.8,14.4,1440,480,Ярославское шоссе 33 км + 450 м (Птичий рынок),76350,10,1440,30,53477215,Светодиодный экран
Москва335,/moskovskaya-oblast/stupino,Россия,Московская область,Москва,/moskva/pristantsionnaya-6-storona-a,2.88,4.8,480,288,Пристанционная; 6 (сторона А),10815,10,288,7,53477215,Светодиодный экран
